van_precinct_id,targets
2257730,2179
1071009,2107
2257679,1829
295994,1609
2257747,1605
2257754,1578
295962,1567
296015,1563
1848143,1545
295838,1536
2257717,1522
295950,1467
295818,1436
295961,1415
295990,1406
297247,1404
296008,1402
2257705,1382
2257676,1374
297272,1362
295933,1352
1594345,1341
295944,1332
892243,1322
2257714,1321
295912,1321
296003,1320
295881,1320
295937,1301
295969,1298
1992185,1296
2257698,1293
295966,1287
296009,1285
295920,1283
296001,1279
2257761,1276
295996,1274
295680,1273
295873,1271
297097,1270
297112,1261
2257758,1258
295872,1258
1991023,1252
2228459,1249
295677,1245
295878,1235
295856,1234
297323,1229
295794,1215
295883,1215
297348,1212
295825,1208
2257764,1208
975950,1194
2257721,1188
295889,1188
297717,1174
2257728,1168
295997,1150
295812,1149
295860,1145
297274,1144
2257694,1140
297401,1138
297297,1138
297532,1134
296732,1132
295808,1132
2228438,1128
892249,1128
1569568,1127
2257709,1127
296255,1127
295829,1123
295830,1119
295923,1117
1992183,1111
297098,1106
295803,1104
296236,1101
296002,1097
296420,1097
1569617,1095
297105,1095
296007,1092
297108,1092
2302179,1092
295819,1089
1824853,1088
297237,1088
296738,1087
295943,1086
892250,1086
297109,1083
297402,1082
295911,1081
296961,1080
2257737,1080
297718,1080
295956,1079
295797,1077
297099,1075
296287,1071
295882,1071
297251,1071
297252,1065
296392,1065
296734,1062
297403,1062
1824852,1061
297347,1060
297328,1055
295995,1051
295709,1050
1594346,1045
296695,1045
296736,1043
297269,1043
297115,1041
297322,1040
297225,1040
1569569,1035
295836,1032
295988,1030
297092,1030
297110,1030
295895,1030
296730,1028
297386,1028
297111,1027
295986,1026
297514,1023
297524,1021
297234,1021
2257738,1016
295793,1016
295955,1015
2257756,1014
297341,1014
297224,1013
297163,1012
297474,1011
2228517,1007
295902,1005
1866909,1002
296289,1000
296714,999
297179,999
295892,998
1991018,995
295851,994
2257692,993
331417,993
2257708,992
1706911,991
297396,988
295672,986
296946,986
297418,985
2257715,983
297124,981
297687,980
295855,979
297107,978
295947,978
2257722,978
1569544,977
296016,976
295985,975
297494,971
295743,971
297332,968
2355392,968
296218,966
297125,965
297310,961
972596,959
2257702,956
892251,956
295846,956
295820,955
297094,953
297605,952
295663,951
297309,951
296219,949
296723,947
295965,947
1824854,946
297261,945
296721,945
1706905,944
1071013,940
297367,938
1936700,937
295941,936
295828,935
295791,934
297298,933
2257749,932
296737,932
295906,932
546532,930
297531,929
297435,926
295668,925
2257719,924
295845,924
295373,923
1751477,919
296673,919
297436,918
297128,917
295967,917
296722,916
295666,915
2257718,910
297485,910
1824846,910
295742,908
2228519,908
297366,908
297256,908
297491,905
297647,904
2257734,903
295875,902
295817,901
2302172,899
295804,898
1988662,898
296716,895
297114,893
297369,893
296922,892
295678,891
2228472,890
295936,889
296725,886
1569570,885
2257745,884
297095,884
297223,884
297244,883
296202,877
297276,876
296212,876
296279,875
2257701,875
296006,874
296285,871
2257712,871
297106,870
297311,870
295968,868
296231,868
1936187,866
297490,864
1594348,863
297245,863
297146,862
296694,861
297113,861
2228498,861
296689,861
297382,860
295957,859
295362,858
297219,855
296249,855
546526,854
1706910,853
295938,852
2302159,850
2257683,849
1866916,848
1991016,848
297486,844
295871,843
295723,843
2302177,842
295979,841
296206,839
296391,838
297082,838
2257760,837
1569603,837
2257755,834
1569612,833
1835303,833
296728,831
297235,831
2257720,829
295683,829
297313,829
296432,828
1071015,828
297566,826
295976,824
1569610,822
295866,822
297096,820
296210,818
1824851,817
297358,817
2228443,816
2257700,815
297662,814
296239,814
1988664,813
295909,812
297438,811
2228439,810
1569627,810
295833,810
297523,809
297279,808
297510,807
297388,807
892246,806
948800,804
297440,803
297705,802
295931,801
296923,799
297528,799
2302170,799
297518,799
2257689,798
1824845,798
296221,798
297681,798
295970,796
296433,795
2298721,795
297607,794
297292,794
297601,788
296715,788
297314,787
2257699,787
295839,786
297501,786
295888,786
2302154,783
331414,783
295861,782
297439,781
2228460,779
296679,779
296930,778
2302163,777
297327,776
295799,775
296681,775
2228451,775
297129,775
297437,775
296211,775
297473,774
297250,773
295857,772
2302178,771
297702,771
295877,770
296217,770
297522,769
295675,767
297126,766
1866924,766
296942,766
296422,765
1992184,765
296394,764
295904,762
297162,762
297426,761
295673,761
297340,759
297513,759
297103,759
296731,759
296011,758
1854143,757
297315,757
297539,757
296973,756
2302153,756
295899,755
2355399,755
296713,754
297393,754
2257751,753
297628,753
2257750,752
1569616,752
2355393,751
1071019,749
2334683,749
296400,749
2257677,748
2355395,748
296278,748
296252,745
297504,745
296230,743
297472,743
297655,743
296201,743
296710,741
297582,741
296435,740
297394,739
2257687,739
296436,739
2257713,738
297537,737
295951,737
2274049,736
2257693,736
297100,735
295945,735
296013,734
295821,733
1706907,726
295712,726
296256,725
295357,723
295862,722
297260,722
297335,721
2355398,721
296203,721
297498,720
2257716,719
295982,718
295974,718
296442,718
297409,716
297275,716
1594356,715
295880,714
295831,713
295939,713
295864,712
295849,711
295717,711
296733,710
2228461,710
295795,710
296393,709
296682,709
1824855,708
296706,708
297325,707
2228470,706
297695,705
2257707,705
297699,705
296951,703
296965,703
297305,702
295685,701
297666,698
295700,698
297562,697
297488,694
296017,694
297385,693
546530,691
2257735,691
296678,689
296933,689
2257727,688
297249,688
297282,688
296281,688
296438,688
295952,687
296225,687
297376,687
296399,687
297093,686
297464,685
297387,685
2274022,684
296010,684
297218,684
2257741,684
297594,684
296440,684
295879,683
1991019,683
1569639,681
1854602,681
296427,681
296282,681
297564,681
1982051,680
1991020,678
1569613,676
296045,675
297246,675
297267,674
295958,674
297434,674
297413,673
2257673,673
296934,673
295664,672
297222,672
297691,672
295863,672
1936188,670
1706903,670
296431,670
1071010,670
2257753,669
297672,669
295810,667
297136,665
296971,664
297423,664
297130,664
297419,663
297527,662
1854599,661
296677,660
297266,660
2302171,660
297283,658
1848146,657
2274031,657
297143,657
1854594,656
297624,656
297467,655
295900,655
295679,654
297172,654
297221,653
297444,653
295835,653
1992813,653
1569598,652
2257697,651
295884,650
297507,649
1866917,648
297127,648
297690,648
297544,648
2302165,646
297181,645
297263,645
295981,645
297499,645
297551,642
297696,642
296250,642
297349,642
295885,641
297689,641
297203,640
296735,640
297534,640
1569577,640
296945,638
546540,638
297671,637
297145,637
331415,637
296346,636
297710,636
295960,636
1824849,635
295987,634
297455,634
295378,634
296209,633
297217,633
1071014,633
295858,632
297447,632
296717,631
295850,631
296247,630
297678,630
297595,630
296041,629
295713,629
295874,628
297721,628
297134,628
296696,628
297270,627
295999,627
296343,626
297104,626
297204,625
297706,624
296243,624
297312,624
297363,623
295907,623
295897,622
296688,621
295869,621
297360,621
2228462,620
1936186,620
297512,619
1594354,619
2257739,618
295681,616
297407,616
296275,615
296705,615
297638,615
296390,614
1569628,613
296227,613
295913,613
297139,612
297081,611
297102,610
297669,610
296267,610
297417,610
297173,609
892245,609
1569631,608
297707,608
2302166,607
296963,607
297631,607
295903,603
297620,602
296928,602
948796,601
295806,601
1982049,600
296224,600
2302182,599
295929,598
948799,598
546535,597
2228487,596
295852,596
2355396,595
2228490,595
296932,594
1569571,593
297196,592
297700,591
296687,591
297101,590
297262,590
296941,589
296339,589
295699,588
1866923,587
295813,587
296253,587
295934,586
2228445,585
297091,585
295827,584
297410,583
1824847,583
296719,582
297345,582
297530,581
1815726,580
296530,580
295364,579
972598,579
295946,579
296416,579
295927,578
297639,578
1866912,577
295977,577
2257762,576
295722,576
295811,576
295665,576
2228442,575
297291,575
295973,575
297533,574
297517,574
297304,574
2228516,573
295926,572
297420,572
297715,571
295662,570
295823,570
948797,569
295356,568
1866914,568
1866913,567
297392,567
296707,566
2302183,566
295918,566
295847,565
297451,563
296686,562
297307,562
297220,562
295989,561
1866911,561
295901,560
1902008,559
2228476,559
1992181,558
296029,558
1569638,557
296675,556
296954,556
297723,556
295919,554
297238,553
296347,552
297378,552
297149,552
296441,551
297205,551
296344,550
1569566,550
297422,549
2228497,549
297154,548
2228448,547
295991,547
297598,547
297308,547
2302180,547
295942,546
1594358,546
295843,546
295708,545
297398,545
296580,544
2228478,544
296043,544
297239,544
296165,543
975949,543
295698,543
297453,542
295949,542
2355394,541
295721,541
296242,540
295978,539
1569630,539
296944,539
295359,538
295715,538
295384,537
1594349,537
