Current Turf,van_precinct_name,van_precinct_id,county_name,voters,supporters
R03B - HD 21,110 - Buckland Mills,296681,Prince William,4105,2111
R03B - HD 21,112 - Burke-Nickens,1835303,Prince William,4725,2389
R03B - HD 21,202 - West Gate,2228497,Prince William,2524,1721
R03B - HD 21,401 - Evergreen,296703,Prince William,3377,1171
R03B - HD 21,402 - Gravely,2228489,Prince William,4309,1719
R03B - HD 21,403 - Bull Run,296705,Prince William,3474,1820
R03B - HD 21,404 - Unity Braxton,296707,Prince William,2281,1451
R03B - HD 21,405 - Ben Lomond,296706,Prince William,3044,1938
R03B - HD 21,406 - Alvey,296708,Prince William,3614,1722
R03B - HD 21,407 - Heritage Hunt,296709,Prince William,4142,2068
R03B - HD 21,409 - Tyler,892250,Prince William,5145,2740
R03B - HD 21,410 - Mountain View,296713,Prince William,4459,2132
R03B - HD 21,411 - Mullen,296714,Prince William,3698,2635
R03B - HD 21,412 - Catharpin,1824848,Prince William,2489,923
R03B - HD 21,413 - Reagan,1824849,Prince William,3737,1710
R03B - HD 21,414 - Seymour,2228516,Prince William,2626,1634
R03C - HD 30,307 - Middleburg,296409,Loudoun,1473,638
R03C - HD 30,308 - St Louis,296410,Loudoun,1502,644
R03C - HD 30,309 - Aldie,296411,Loudoun,1102,431
R03C - HD 30,313 - Pinebrook,1071014,Loudoun,2291,1345
R03C - HD 30,319 - John Champe,1936698,Loudoun,1899,1095
R03C - HD 30,326 - Independence,2302163,Loudoun,3623,1839
R03C - HD 30,327 - Willard,2302169,Loudoun,1699,741
R03C - HD 30,328 - Hovatter,2302171,Loudoun,2415,1271
R03C - HD 30,329 - Lightridge,2302166,Loudoun,3223,1550
R03C - HD 30,401 - Salem,296030,Fauquier,3520,1179
R03C - HD 30,401 - West Lovettsville,296412,Loudoun,4157,1517
R03C - HD 30,402 - Leeds,296031,Fauquier,3514,1198
R03C - HD 30,402 - Waterford,296413,Loudoun,3047,1118
R03C - HD 30,403 - Lucketts,296414,Loudoun,2810,1125
R03C - HD 30,409 - Clarkes Gap,296419,Loudoun,3485,1424
R03C - HD 30,411 - East Lovettsville,546537,Loudoun,2584,929
R03C - HD 30,413 - Tuscarora,1569599,Loudoun,1698,751
R03C - HD 30,416 - Hamilton,296406,Loudoun,2787,1179
R03C - HD 30,421 - Between The Hills,1854598,Loudoun,415,119
R03C - HD 30,424 - Purcellville,2302161,Loudoun,3616,1621
R03C - HD 30,425 - Round Hill,2302168,Loudoun,3114,1150
R03C - HD 30,426 - Hillsboro,2302155,Loudoun,2888,1030
R03C - HD 30,427 - Philomont,2302158,Loudoun,2496,878
R03C - HD 30,428 - Mountain View,2302183,Loudoun,4202,1832
R03C - HD 30,429 - Round Hill Elementary,2302167,Loudoun,3802,1388
R03C - HD 30,430 - Harmony,2302184,Loudoun,1460,532
R03C - HD 30,501 - Hopewell,2274014,Fauquier,1534,556
R03C - HD 30,505 - The Plains,296033,Fauquier,216,99
R04D - HD 22,101 - Brentsville,296672,Prince William,3251,925
R04D - HD 22,102 - Cedar Point,296683,Prince William,2822,1381
R04D - HD 22,103 - Glenkirk,296710,Prince William,3931,2049
R04D - HD 22,104 - Nokesville,296675,Prince William,4195,1629
R04D - HD 22,105 - Piney Branch,1992813,Prince William,3331,1631
R04D - HD 22,107 - Marsteller,296678,Prince William,3862,2049
R04D - HD 22,108 - Victory,296679,Prince William,3987,2133
R04D - HD 22,109 - Chris Yung,1569610,Prince William,3805,2145
R04D - HD 22,111 - Limestone,892246,Prince William,4393,2159
R04D - HD 22,113 - Lakes,2228462,Prince William,3323,1729
R04D - HD 22,114 - Bristow Run,296682,Prince William,4146,2097
R04D - HD 22,203 - Bennett,296673,Prince William,4274,2322
R04D - HD 22,205 - Buckhall,296674,Prince William,2530,1109
R04D - HD 22,206 - Coles,1569611,Prince William,3524,1646
R04D - HD 22,209 - Independent Hill,296680,Prince William,2609,962
R04D - HD 22,210 - Yates Ford,1569615,Prince William,3527,1576
R04D - HD 22,214 - Lucasville,1824844,Prince William,3367,1411
R04D - HD 22,515 - Marshall,892248,Prince William,2767,1296
R04E - HD 64,101 - Hartwood,296947,Stafford,4981,1372
R04E - HD 64,102 - Simpson,296949,Stafford,3509,1132
R04E - HD 64,103 - College,296950,Stafford,3130,1484
R04E - HD 64,104 - Westlake,2257703,Stafford,2236,569
R04E - HD 64,106 - Forge,2257684,Stafford,1839,920
R04E - HD 64,201 - Rock Hill,296951,Stafford,4604,1999
R04E - HD 64,202 - Roseville,296952,Stafford,3617,1086
R04E - HD 64,203 - Ruby,296953,Stafford,3121,780
R04E - HD 64,204 - Stefaniga,296954,Stafford,3746,1626
R04E - HD 64,401 - Courthouse,296961,Stafford,4124,2786
R04E - HD 64,402 - Brooke,296962,Stafford,2385,815
R04E - HD 64,403 - Harbour,296958,Stafford,2369,882
R04E - HD 64,404 - Government Island,1569623,Stafford,2982,1153
R04E - HD 64,405 - Hope,2257727,Stafford,4635,2045
R04E - HD 64,505 - Eskimo Hill,2257742,Stafford,1395,644
R04E - HD 64,701 - Park Ridge,2257713,Stafford,4272,2077
R04E - HD 64,702 - Whitson,296971,Stafford,3342,1924
R04E - HD 64,703 - Hampton,296973,Stafford,4330,2043
R04E - HD 64,704 - Poole,2257705,Stafford,5793,3214
R05B - HD 65,101 - Precinct 1 - District One,297234,Fredericksburg (City),4899,3188
R05B - HD 65,105 - Rocky Run,296948,Stafford,1996,856
R05B - HD 65,201 - Precinct 1 - District Two,297235,Fredericksburg (City),4365,2631
R05B - HD 65,301 - Precinct 1 - District Three,297237,Fredericksburg (City),5556,3472
R05B - HD 65,301 - Salem Elementary,296929,Spotsylvania,2924,1348
R05B - HD 65,302 - Salem Library,296930,Spotsylvania,4677,2267
R05B - HD 65,304 - Knights Of Pythias,2274010,Spotsylvania,3256,1411
R05B - HD 65,401 - Precinct 1 - District Four,297238,Fredericksburg (City),2802,1938
R05B - HD 65,402 - Precinct 2 - District Four,297239,Fredericksburg (City),2781,1814
R05B - HD 65,501 - Grafton,296963,Stafford,4956,1829
R05B - HD 65,502 - Falmouth,296964,Stafford,3320,1416
R05B - HD 65,503 - Drew,296965,Stafford,4501,1983
R05B - HD 65,504 - Gayle,296966,Stafford,3291,1772
R05B - HD 65,601 - Ferry Farm,296967,Stafford,3091,1024
R05B - HD 65,602 - Chatham,296968,Stafford,3883,1520
R05B - HD 65,603 - White Oak,296969,Stafford,3750,811
