Region,fo_name,county,van_precinct_name,precinct_name,van_precinct_id,GEOID,voters,doors,targets
R01,R01A - Alexandria,ALEXANDRIA CITY,101 - Old Town North,Old Town North,297092,51510000101,3897,3333,1017
R01,R01A - Alexandria,ALEXANDRIA CITY,109 - Fire Department Headquarters,Fire Department Headquarters,297100,51510000109,2770,2311,727
R01,R01A - Alexandria,ALEXANDRIA CITY,205 - Douglas MacArthur School,Douglas MacArthur School,297105,51510000205,4245,3320,1094
R01,R01A - Alexandria,ALEXANDRIA CITY,104 - Durant Center,Durant Center,297095,51510000104,3343,2802,880
R01,R01A - Alexandria,ALEXANDRIA CITY,103 - Lyles Crouch School,Lyles Crouch School,297094,51510000103,4021,3312,953
R01,R01A - Alexandria,ALEXANDRIA CITY,112 - Alex Renew,Alex Renew,1992185,51510000211,4058,3675,1283
R01,R01A - Alexandria,ALEXANDRIA CITY,110 - Charles Houston Center,Charles Houston Center,1848143,51510000110,4972,4517,1532
R01,R01A - Alexandria,ALEXANDRIA CITY,102 - City Hall,City Hall,297093,51510000102,3176,2312,677
R01,R01A - Alexandria,ALEXANDRIA CITY,201 - Naomi L. Brooks School,Naomi L. Brooks School,297101,51510000201,2677,1910,593
R01,R01A - Alexandria,ALEXANDRIA CITY,108 - George Washington Middle Sch,George Washington Middle Sch,297099,51510000108,4503,3588,1074
R01,R01A - Alexandria,ALEXANDRIA CITY,105 - Lee Center,Lee Center,297096,51510000105,3108,2711,803
R01,R01A - Alexandria,ALEXANDRIA CITY,111 - Potomac Yard,Potomac Yard,1936188,51510000111,2257,1968,662
R01,R01B - Arlington,ARLINGTON,138 - Precinct 138,Precinct 138,2257715,51013000138,3462,3106,975
R01,R01B - Arlington,ARLINGTON,110 - Precinct 110,Precinct 110,2257717,51013000110,5303,4881,1505
R01,R01B - Arlington,ARLINGTON,118 - Precinct 118,Precinct 118,2257730,51013000118,6788,6336,2165
R01,R01B - Arlington,ARLINGTON,144 - Precinct 144,Precinct 144,2257755,51013000144,2791,2576,827
R01,R01B - Arlington,ARLINGTON,108 - Precinct 108,Precinct 108,2257761,51013000108,4477,4103,1275
R01,R01B - Arlington,ARLINGTON,119 - Precinct 119,Precinct 119,2257679,51013000119,5688,5244,1818
R01,R01B - Arlington,ARLINGTON,132 - Precinct 132,Precinct 132,2257678,51013000132,1485,1223,371
R01,R01C - Ballston,ARLINGTON,125 - Precinct 125,Precinct 125,2257760,51013000125,3155,2461,835
R01,R01C - Ballston,ARLINGTON,129 - Precinct 129,Precinct 129,2257716,51013000129,3027,1931,715
R01,R01C - Ballston,ARLINGTON,146 - Precinct 146,Precinct 146,2257747,51013000146,4753,4501,1595
R01,R01C - Ballston,ARLINGTON,114 - Precinct 114,Precinct 114,2257683,51013000114,2694,2441,847
R01,R01C - Ballston,ARLINGTON,151 - Precinct 151,Precinct 151,2257729,51013000151,857,771,213
R01,R01C - Ballston,ARLINGTON,145 - Precinct 145,Precinct 145,2257738,51013000145,3077,2781,1004
R01,R01C - Ballston,ARLINGTON,104 - Precinct 104,Precinct 104,2257764,51013000104,4063,3412,1189
R01,R01C - Ballston,ARLINGTON,139 - Precinct 139,Precinct 139,2257724,51013000139,1859,1255,474
R01,R01D - Barcroft,ARLINGTON,147 - Precinct 147,Precinct 147,2257701,51013000147,2659,2353,865
R01,R01D - Barcroft,ARLINGTON,101 - Precinct 101,Precinct 101,2257734,51013000101,3057,2515,896
R01,R01D - Barcroft,ARLINGTON,113 - Precinct 113,Precinct 113,2257741,51013000113,2317,1775,683
R01,R01D - Barcroft,ARLINGTON,126 - Precinct 126,Precinct 126,2257709,51013000126,3934,3425,1133
R01,R01D - Barcroft,ARLINGTON,127 - Precinct 127,Precinct 127,2257722,51013000127,3614,2807,977
R01,R01D - Barcroft,ARLINGTON,143 - Precinct 143,Precinct 143,2257708,51013000143,2973,2549,995
R01,R01D - Barcroft,ARLINGTON,105 - Precinct 105,Precinct 105,2257699,51013000105,3105,2334,778
R01,R01D - Barcroft,ARLINGTON,109 - Precinct 109,Precinct 109,2257698,51013000109,4424,3845,1286
R01,R01D - Barcroft,ARLINGTON,130 - Precinct 130,Precinct 130,2257737,51013000130,3530,2829,1081
R01,R01E - Clarendon,ARLINGTON,116 - Precinct 116,Precinct 116,2257728,51013000116,4107,3482,1155
R01,R01E - Clarendon,ARLINGTON,149 - Precinct 149,Precinct 149,2257702,51013000149,2893,2697,940
R01,R01E - Clarendon,ARLINGTON,115 - Precinct 115,Precinct 115,2257704,51013000115,1947,1606,527
R01,R01E - Clarendon,ARLINGTON,102 - Precinct 102,Precinct 102,2257719,51013000102,3632,2955,913
R01,R01E - Clarendon,ARLINGTON,141 - Precinct 141,Precinct 141,2257676,51013000141,4186,3889,1354
R01,R01E - Clarendon,ARLINGTON,154 - Precinct 154,Precinct 154,2257762,51013000154,1813,1657,572
R01,R01E - Clarendon,ARLINGTON,140 - Precinct 140,Precinct 140,2257754,51013000140,4935,4516,1567
R01,R01E - Clarendon,ARLINGTON,148 - Precinct 148,Precinct 148,2257692,51013000148,2955,2713,996
R01,R01F - Crystal City,ALEXANDRIA CITY,107 - Mt Vernon Recreation Center,Mt Vernon Recreation Center,297098,51510000107,4812,3781,1100
R01,R01F - Crystal City,ARLINGTON,106 - Precinct 106,Precinct 106,2257756,51013000106,3393,3108,1003
R01,R01F - Crystal City,ARLINGTON,153 - Precinct 153,Precinct 153,2257758,51013000153,3956,3721,1241
R01,R01F - Crystal City,ARLINGTON,152 - Precinct 152,Precinct 152,2257749,51013000152,2925,2588,932
R01,R01F - Crystal City,ALEXANDRIA CITY,204 - Blessed Sacrament Church,Blessed Sacrament Church,297104,51510000204,3144,2072,624
R01,R01F - Crystal City,ARLINGTON,121 - Precinct 121,Precinct 121,2257691,51013000121,1862,1575,532
R01,R01F - Crystal City,ALEXANDRIA CITY,203 - Charles Barrett Center,Charles Barrett Center,297103,51510000203,2930,2536,758
R01,R01F - Crystal City,ARLINGTON,150 - Precinct 150,Precinct 150,2257714,51013000150,4185,3938,1309
R01,R01F - Crystal City,ALEXANDRIA CITY,106 - Cora Kelly,Cora Kelly,297097,51510000106,4801,4188,1255
R01,R01F - Crystal City,ARLINGTON,103 - Precinct 103,Precinct 103,2257680,51013000103,2045,1481,458
R01,R01F - Crystal City,ALEXANDRIA CITY,202 - Trinity,Trinity,297102,51510000202,3004,1778,610
R01,R01G - Lee Heights,ARLINGTON,133 - Precinct 133,Precinct 133,2257735,51013000133,3225,1795,687
R01,R01G - Lee Heights,ARLINGTON,123 - Precinct 123,Precinct 123,2257677,51013000123,3105,2201,744
R01,R01G - Lee Heights,ARLINGTON,135 - Precinct 135,Precinct 135,2257751,51013000135,3447,1947,748
R01,R01G - Lee Heights,ARLINGTON,120 - Precinct 120,Precinct 120,2257673,51013000120,3152,1896,671
