van_precinct_id,van_precinct_name,precinct_name_doe,GEOID,Region,fo_name,county,voters,doors,targets,Current Region,county_name,Current Turf,supporters,min_lon,min_lat,max_lon,max_lat
2257730,118 - Precinct 118,PRECINCT 118,51013000118,R01,R01B - Arlington,ARLINGTON,6788,6336,2165,R01,ARLINGTON,R01B - Arlington,2165,-77.0912530002208,38.8865759997956,-77.0780000003239,38.896361000292
1071009,332 - Coates,COATES,51059000332,R02,R02F - Herndon,FAIRFAX,7112,6205,2092,R02,FAIRFAX,R02F - Herndon,2092,-77.4322129321206,38.9412948867083,-77.3904993088646,38.962189578842
2257679,119 - Precinct 119,PRECINCT 119,51013000119,R01,R01B - Arlington,ARLINGTON,5688,5244,1818,R01,ARLINGTON,R01B - Arlington,1818,-77.0820619996807,38.8889650000207,-77.0641609997229,38.90113000028
295994,132 - Monument,MONUMENT,51059000132,R02,R02D - Fair Oaks,FAIRFAX,5713,4674,1616,R02,FAIRFAX,R02D - Fair Oaks,1616,-77.3647074796033,38.8496875279613,-77.3332506666494,38.862361355884
2257747,146 - Precinct 146,PRECINCT 146,51013000146,R01,R01C - Ballston,ARLINGTON,4753,4501,1595,R01,ARLINGTON,R01C - Ballston,1595,-77.1127040002477,38.8798909997629,-77.1041310001989,38.886107999811
2257754,140 - Precinct 140,PRECINCT 140,51013000140,R01,R01E - Clarendon,ARLINGTON,4935,4516,1567,R01,ARLINGTON,R01E - Clarendon,1567,-77.1083089999066,38.8812260001817,-77.0962159999261,38.8961080000688
295962,726 - Magarity,MAGARITY,51059000726,R02,R02G - McLean,FAIRFAX,5517,4708,1559,R02,FAIRFAX,R02G - McLean,1559,-77.2178628975493,38.9093690732061,-77.1965451275605,38.9310684909817
296015,926 - Powell,POWELL,51059000926,R02,R02B - Centreville,FAIRFAX,5152,3419,1568,R02,FAIRFAX,R02B - Centreville,1568,-77.4321238291259,38.8387239563454,-77.4019921794382,38.8517253640708
1848143,110 - Charles Houston Center,Charles Houston Center,51510000110,R01,R01A - Alexandria,ALEXANDRIA CITY,4972,4517,1532,R01,ALEXANDRIA CITY,R01A - Alexandria,1532,-77.054834000537,38.8096129997737,-77.045024000579,38.8203850001542
295838,237 - McNair,MCNAIR,51059000237,R02,R02F - Herndon,FAIRFAX,4949,4113,1531,R02,FAIRFAX,R02F - Herndon,1531,-77.4129392794592,38.9426388972371,-77.3884362236101,38.9541259234101
2257717,110 - Precinct 110,PRECINCT 110,51013000110,R01,R01B - Arlington,ARLINGTON,5303,4881,1505,R01,ARLINGTON,R01B - Arlington,1505,-77.0848100000338,38.8649919997269,-77.0435230001809,38.8949310003427
295950,708 - Marshall,MARSHALL,51059000708,R02,R02G - McLean,FAIRFAX,4520,3679,1227,R02,FAIRFAX,R02G - McLean,1227,-77.2181843336226,38.8888841649712,-77.1899129008521,38.9104345695848
295818,208 - Reston #1,RESTON #1,51059000208,R02,R02H - Reston,FAIRFAX,5199,4445,1435,R02,FAIRFAX,R02H - Reston,1435,-77.3563207667882,38.9466480971425,-77.3331718448731,38.9711949520005
295961,721 - Merrifield,MERRIFIELD,51059000721,R02,R02C - East Fairfax,FAIRFAX,4726,4189,1414,R02,FAIRFAX,R02C - East Fairfax,1414,-77.2467758900276,38.8653853272226,-77.2269093519736,38.8831794106157
295990,848 - Fair Oaks,FAIR OAKS,51059000848,R02,R02D - Fair Oaks,FAIRFAX,4709,3208,1400,R02,FAIRFAX,R02D - Fair Oaks,1400,-77.4048387231812,38.8400617162918,-77.3629815186001,38.8588913091626
297247,104 - Cooper,Cooper,51650000104,R08,R08A - Hampton,HAMPTON CITY,5985,5171,1394,R08,HAMPTON CITY,R08A - Hampton,1394,-76.4053946491276,37.0404600769018,-76.3769946180327,37.0704454361923
296008,918 - Centreville,CENTREVILLE,51059000918,R02,R02B - Centreville,FAIRFAX,5452,4051,1388,R02,FAIRFAX,R02B - Centreville,1388,-77.4364434895607,38.8271787605069,-77.4048431833166,38.8400026156217
2257705,704 - Poole,Poole,51179000704,R04,R04E - HD 64,STAFFORD,5808,3572,1378,R04,STAFFORD,R04E - HD 64,1378,-77.4562743420401,38.4218940766839,-77.4208203422789,38.459535077144
2257676,141 - Precinct 141,PRECINCT 141,51013000141,R01,R01E - Clarendon,ARLINGTON,4186,3889,1354,R01,ARLINGTON,R01E - Clarendon,1354,-77.0886549996556,38.8845799999594,-77.083157000198,38.8917449997527
297272,210 - MacHen,Machen,51650000210,R08,R08F - Port Warwick,HAMPTON CITY,5678,4193,1364,R08,HAMPTON CITY,R08F - Port Warwick,1364,-76.4275871679974,37.048478097263,-76.3683709916295,37.0959054321098
295933,617 - Lorton,LORTON,51059000617,R04,R04I - Woodbridge,FAIRFAX,4433,3146,1348,R04,FAIRFAX,R04I - Woodbridge,1348,-77.2450402874549,38.6668536729312,-77.1929959844843,38.709904036955
1594345,119 - Arcola,ARCOLA,51107000119,R03,R03G - South Riding,LOUDOUN,5015,3680,1344,R03,LOUDOUN,R03G - South Riding,1344,-77.569037117099,38.9292619606952,-77.5183042943044,38.9562004818824
295944,701 - Blake,BLAKE,51059000701,R02,R02I - Vienna,FAIRFAX,5267,3959,1326,R02,FAIRFAX,R02I - Vienna,1326,-77.3089439995894,38.8631974434814,-77.2831178304297,38.8827602244094
